date_published,title,url,post_id,topic_tags,status
2026-08-03,Plumbing Emergency Statistics You Need to Know in 2026,https://www.brackendownsplumber.co.za/2026/08/03/plumbing-emergency-statistics-you-need-to-know-in-2026/,122,stats-page,published
2026-08-04,How to Fix a Leaking Geyser,https://www.brackendownsplumber.co.za/2026/08/04/how-to-fix-a-leaking-geyser/,124,geyser,published
2026-08-04,Signs of a Blocked Drain You Shouldn't Ignore,https://www.brackendownsplumber.co.za/2026/08/04/signs-of-a-blocked-drain/,125,drains,published
2026-08-04,How to Unblock a Toilet Without a Plunger,https://www.brackendownsplumber.co.za/2026/08/04/how-to-unblock-a-toilet-without-a-plunger/,126,toilets,published
2026-08-04,Why Is My Geyser Making a Noise?,https://www.brackendownsplumber.co.za/2026/08/04/why-is-my-geyser-making-a-noise/,127,geyser,published
2026-08-04,How to Detect a Hidden Water Leak,https://www.brackendownsplumber.co.za/2026/08/04/how-to-detect-a-hidden-water-leak/,128,leaks,published
2026-08-04,What Causes Low Water Pressure?,https://www.brackendownsplumber.co.za/2026/08/04/what-causes-low-water-pressure/,129,pressure,published
2026-08-04,How to Prevent Burst Pipes in Winter,https://www.brackendownsplumber.co.za/2026/08/04/how-to-prevent-burst-pipes-in-winter/,130,pipes-winter,published
2026-08-04,How Load Shedding Affects Your Geyser,https://www.brackendownsplumber.co.za/2026/08/04/load-shedding-effect-on-geysers/,131,geyser-load-shedding,published
2026-08-04,How to Protect Your Geyser During Load Shedding,https://www.brackendownsplumber.co.za/2026/08/04/how-to-protect-your-geyser-during-load-shedding/,132,geyser-load-shedding,published
2026-08-04,What Is a PIRB Compliance Certificate?,https://www.brackendownsplumber.co.za/2026/08/04/what-is-a-pirb-compliance-certificate/,133,pirb-compliance,published
2026-08-04,Do I Need a PIRB Certificate to Sell My House?,https://www.brackendownsplumber.co.za/2026/08/04/do-i-need-a-pirb-certificate-to-sell-my-house/,134,pirb-compliance,published
2026-08-04,How to Choose a Plumber in Alberton,https://www.brackendownsplumber.co.za/2026/08/04/how-to-choose-a-plumber-in-alberton/,135,hiring-a-plumber,published
2026-08-04,Questions to Ask Before Hiring a Plumber,https://www.brackendownsplumber.co.za/2026/08/04/questions-to-ask-before-hiring-a-plumber/,136,hiring-a-plumber,published
2026-08-04,What to Do in a Plumbing Emergency,https://www.brackendownsplumber.co.za/2026/08/04/what-to-do-in-a-plumbing-emergency/,137,emergency-general,published
2026-08-04,How to Reduce Your Water Bill in South Africa,https://www.brackendownsplumber.co.za/2026/08/04/how-to-reduce-your-water-bill-south-africa/,138,water-bill,published
2026-08-04,Solar Geyser vs Electric Geyser: Pros and Cons,https://www.brackendownsplumber.co.za/2026/08/04/solar-geyser-vs-electric-geyser-pros-and-cons/,139,geyser-comparison,published
2026-08-04,How Long Does a Geyser Last in South Africa?,https://www.brackendownsplumber.co.za/2026/08/04/how-long-does-a-geyser-last-south-africa/,140,geyser,published
2026-08-04,How to Choose the Right Geyser Size,https://www.brackendownsplumber.co.za/2026/08/04/how-to-choose-the-right-geyser-size/,141,geyser,published
2026-08-04,How Does a Drain Camera Inspection Work?,https://www.brackendownsplumber.co.za/2026/08/04/how-does-a-drain-camera-inspection-work/,142,drains,published
2026-08-04,Common Plumbing Problems in Alberton Homes,https://www.brackendownsplumber.co.za/2026/08/04/common-plumbing-problems-in-alberton-homes/,143,local-alberton,published
2026-08-04,Common Plumbing Problems in Older Homes,https://www.brackendownsplumber.co.za/2026/08/04/common-plumbing-problems-in-older-homes/,144,older-homes,published
2026-08-04,How to Maintain Your Drains,https://www.brackendownsplumber.co.za/2026/08/04/how-to-maintain-your-drains/,145,drains,published
2026-08-04,How Often Should a Geyser Be Serviced?,https://www.brackendownsplumber.co.za/2026/08/04/how-often-should-a-geyser-be-serviced/,146,geyser,published
2026-08-04,How to Winterproof Your Plumbing,https://www.brackendownsplumber.co.za/2026/08/04/how-to-winterproof-your-plumbing/,147,pipes-winter,published
