id,image_url,description,platforms,status,caption,added_date,posted_date,post_url
1,https://i.imgur.com/WuLi2Kj.jpg,Leaking toilet outlet pipe with a bucket catching drips,instagram,posted,"If there's a bucket doing a pipe's job in your bathroom, you already know something needs sorting. This kind of leak at the toilet outlet doesn't fix itself, and it usually gets worse (and messier) the longer it's ignored.

Brackendowns Plumber - Brackendowns, Alberton & Ekurhuleni
073 537 6298",2026-08-29,2026-08-29,https://www.instagram.com/p/media/18238859722315751
2,https://i.imgur.com/Es3cvgY.jpg,Corroded/limescale-covered shower mixer tap,instagram,posted,"This is what a mixer tap looks like after years of hard water buildup - corroded, stiff to turn, and usually leaking somewhere you can't see yet.

If yours looks anything like this, it's not just cosmetic. Worn seals inside eventually mean a proper leak, not just an ugly tap.

Brackendowns Plumber - Brackendowns, Alberton & Ekurhuleni
073 537 6298",2026-08-29,2026-08-29,https://www.instagram.com/p/media/18465291760113949
3,https://i.imgur.com/mi9ddjL.jpg,"Worn toilet + tile floor, plain documentation shot. Story/context not yet confirmed by user (before a job? just documentation?).",both,pending,,2026-08-29,,
4,https://i.imgur.com/t6BgWKP.jpg,"Clean toilet tank/cistern with dual-flush button, looks like a completed install. Possibly the after of item 1 (leaking toilet) but not confirmed by user.",both,pending,,2026-08-29,,
5,https://i.imgur.com/W85V91a.jpg,"Underground pipe with tree roots grown around/against it, in an open trench. User said not for Instagram - flagged for Facebook use.",facebook,pending,,2026-08-29,,
6,NEEDS_LINK,"Hot water inlet connection - stainless flexi hose to an old corroded pipe stub, red HOT tag visible, likely at a geyser. Looks like a before shot of an inlet/connection replacement.",unassigned,needs_link,,2026-08-29,,
7,NEEDS_LINK,"Toilet cistern next to a wall-mounted stainless grab bar/support rail. Bathroom accessibility/safety fixture install context.",unassigned,needs_link,,2026-08-29,,
8,https://i.imgur.com/7Wt78fh.jpg,"Mid-repair shot: bathroom sink with tap handles and valve stem parts disassembled and laid out on the basin edge, wrench visible. Classic 'mid-job, parts everywhere' photo.",both,pending,,2026-08-29,,
9,https://i.imgur.com/jbjlPZP.jpg,"Pressure-test setup: gauge (kPa/bar), red ball valve and air line connected to an outdoor standpipe near a storm drain, on a driveway/pavement. Shows a proper pressure test being done on a pipe/line.",both,pending,,2026-08-29,,
10,https://i.imgur.com/B74q32S.jpg,"Worker in branded blue overalls and white hard hat, kneeling/working down inside a dug trench with a pipe wrench visible, muddy site. Strong 'real work in progress' action shot.",both,pending,,2026-08-29,,
11,https://i.imgur.com/CMSS6Pf.jpg,"Outdoor drain/manhole set in brick paving, full of standing murky water, old exposed piping and tap nearby, hose running into it. Blocked/overflowing drain scenario.",both,pending,,2026-08-29,,
