organization,type,contact_name_role,email,phone,address,source_url,notes
Rawson Property Group,Estate agency (national franchise),Marketing,marketing@rawsonproperties.com,+27 21 658 7100,"222 Main Road, Rondebosch, Western Cape, 7700 (national head office)",https://rawson.co.za/contact,Head office is in Cape Town - Gauteng branch line below
Rawson Property Group - Gauteng,Estate agency (regional office),Gauteng support,info@rawsonproperties.com,+27 11 463 1092,Gauteng region,https://www.complaintsboard.com/rawson-property-group-rawson-residential-franchises-b121954/contacts,Verify current branch details on rawson.co.za/offices before mailing
Chas Everitt International - Head Office,Estate agency (national group),Head office,enquiries@everitt.co.za,+27 11 801 2500,"126 Kayburn Avenue, Randpark Ridge, Gauteng",https://www.chaseveritt.co.za/contact/head-office/1994/,
Chas Everitt - Midrand,Estate agency (branch),Midrand branch,midrand@everitt.co.za,+27 11 312 6761,"Greenoaks Office Park, Cnr Bekker & Gregory Street, Vorna Valley, Midrand, Gauteng",https://www.chaseveritt.co.za/contact/midrand/2006/,
Chas Everitt - West Region (Roodepoort/Allens Nek),Estate agency (branch),West region marketing,west.marketing@everitt.co.za,011 675 0055,"Allens Nek / Roodepoort, Gauteng",https://www.chaseveritt.co.za/offices/,
Leapfrog Property Group - Midrand,Estate agency (branch),Skoko Sebola,skoko.sebola@leapfrog.co.za,012 348 1940,"Unit 6, New Road Office Park, New Road, Erand Gardens, Midrand, Gauteng",https://leapfrog.co.za/office-bio/803604/midrand/,Named individual contact - address by name, not a generic blast
Pam Golding Properties - Pretoria (Menlyn),Estate agency (national group, branch),Pretoria office,,+27 12 365 9000,"Central Square, Banking Court, Menlyn Maine, Cnr Corobay & Aramist St, Menlyn, Pretoria, 0181",https://www.pamgolding.co.za/contact-us/office-details/pretoria/211,No public email confirmed for this branch - phone or website contact form
RE/MAX Masters - Bryanston,Estate agency (franchise office),Bryanston office,,011 463 3199,"Villa Toscana, Block A, 27 Eaton Road, Bryanston, Sandton, Gauteng",https://www.remax-masters.co.za/contact-us/masters-(bryanston)/1618/,No public email confirmed - phone or website contact form
Seeff Property Group - Sandton,Estate agency (branch),Sandton branch,,,See branch profile page,https://www.seeff.com/contact/sandton/431/,No phone/email surfaced in search - use branch contact form on seeff.com
Seeff Property Group - Centurion,Estate agency (branch),Centurion branch,,,See branch profile page,https://www.seeff.com/branches/centurion/1262/,No phone/email surfaced in search - use branch contact form on seeff.com
Seeff Property Group - Pretoria East,Estate agency (branch),Pretoria East branch,,,"Selati Park, 36 Selati Street, Alphen Park, Pretoria",https://www.seeff.com/contact/pretoria-east/197/,No phone/email surfaced in search - use branch contact form on seeff.com
Jawitz Properties - Sandton,Estate agency (branch),Sandton branch,,,"Unit 3-005, 3rd Floor, The Pivot, Montecasino Boulevard, Fourways, Sandton, Gauteng",https://www.jawitz.co.za/contact/sandton/1518/,No phone/email surfaced in search - use branch contact form
REBOSA (Real Estate Business Owners of South Africa),Industry body,General admin,admin@rebosa.co.za,+27 76 149 1215,Gauteng,https://www.rebosa.co.za/contact-us/,Represents estate agency principals nationally - good partnership/association contact, not a direct sales target
SAPOA (South African Property Owners Association),Industry body (commercial property),General enquiries,,,"Illovo, Sandton, Gauteng",https://sapoa.org.za/,No direct email confirmed - use website contact form; represents commercial landlords/property owners, useful for maintenance-plumbing partnerships
